secname	pos	x	y	z	dist	diam	cm	Ra	gmax_ch_CavL	gmax_ch_CavN	gmax_ch_HCN	gmax_ch_HCNolm	gmax_ch_HCNp	gmax_ch_KCaS	gmax_ch_Kdrfast	gmax_ch_Kdrfastngf	gmax_ch_Kdrp	gmax_ch_Kdrslow	gmax_ch_KvA	gmax_ch_KvAdistp	gmax_ch_KvAngf	gmax_ch_KvAolm	gmax_ch_KvAproxp	gmax_ch_KvCaB	gmax_ch_KvGroup	gmax_ch_KvM	gmax_ch_Nav	gmax_ch_Navaxonp	gmax_ch_Navbis	gmax_ch_Navcck	gmax_ch_Navngf	gmax_ch_Navp	gmax_ch_leak
pvbasketcell[0].soma[0]	0	9.33333	15.5	125	0	10	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].soma[0]	0.5	9.33333	15.5	125	10	10	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].soma[0]	1	9.33333	15.5	125	20	10	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[0]	0	9.33333	35.5	125	20	4	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[0]	0.5	9.33333	35.5	125	69.9999	4	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[0]	1	9.33333	35.5	125	120	4	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[1]	0	48.2751	127.606	125	120	3	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[1]	0.166667	48.2751	127.606	125	136.667	3	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[1]	0.5	48.2751	127.606	125	170	3	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[1]	0.833333	48.2751	127.606	125	203.333	3	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
